"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"22/07/19","3","4","17","25","27","38","18","29"
"15/07/19","6","11","21","24","35","40","14","44"
"08/07/19","1","16","27","33","39","44","10","36"
"01/07/19","13","14","15","19","27","44","36","37"
"24/06/19","9","22","23","32","36","40","33","37"
"17/06/19","2","18","21","22","34","35","11","19"
"10/06/19","2","3","5","7","15","19","20","23"
"03/06/19","10","12","14","16","33","41","15","40"
"27/05/19","11","18","25","29","35","40","27","38"
"20/05/19","1","2","5","12","26","36","34","39"
"13/05/19","3","6","13","36","37","43","9","24"
"06/05/19","1","20","21","30","36","41","8","32"
"29/04/19","2","6","10","14","33","42","11","30"
"22/04/19","2","6","12","18","32","44","20","30"
"15/04/19","1","13","24","38","41","42","18","30"
"08/04/19","3","4","17","22","25","30","16","45"
"01/04/19","1","7","9","10","30","32","28","41"
"25/03/19","4","13","23","28","37","42","12","19"
"18/03/19","10","25","28","30","36","42","5","6"
"11/03/19","1","5","8","20","40","44","4","39"
"04/03/19","14","19","33","37","39","43","32","35"
"25/02/19","5","14","18","23","25","40","3","19"
"18/02/19","9","11","17","18","23","30","16","35"
"11/02/19","1","14","21","33","41","44","26","37"
"04/02/19","6","22","26","31","38","42","8","23"
"28/01/19","1","6","12","14","41","42","13","23"
"21/01/19","2","17","19","24","32","43","37","40"
"14/01/19","8","11","14","18","37","43","6","9"
"07/01/19","8","9","28","39","42","43","2","45"
"31/12/18","16","24","25","32","36","39","10","20"
"24/12/18","7","14","16","19","33","39","17","23"
"17/12/18","18","31","33","36","37","40","9","25"
"10/12/18","3","14","28","33","35","36","1","15"
"03/12/18","7","22","36","40","42","44","31","37"
"26/11/18","1","2","3","16","30","45","10","21"
"19/11/18","8","15","16","19","23","24","21","27"
"12/11/18","4","14","16","27","30","38","29","37"
"05/11/18","8","28","29","33","40","42","12","18"
"29/10/18","2","27","37","41","43","45","16","33"
"22/10/18","1","6","9","19","21","34","8","12"
"15/10/18","3","4","12","23","36","43","14","31"
"08/10/18","9","11","13","19","23","35","37","41"
"01/10/18","17","19","25","36","39","43","12","34"
"24/09/18","12","19","26","29","30","45","4","32"
"17/09/18","2","7","16","36","37","40","11","26"
"10/09/18","20","22","25","34","39","45","5","35"
"03/09/18","5","6","11","17","28","33","24","37"
"27/08/18","12","16","17","28","30","33","3","24"
"20/08/18","1","2","10","17","43","44","19","30"
"13/08/18","15","24","32","34","40","42","13","16"
"06/08/18","2","16","21","31","42","44","11","33"
"30/07/18","8","11","26","29","35","40","2","7"
"23/07/18","3","11","26","32","34","37","27","38"
"16/07/18","14","16","35","37","40","42","3","15"
"09/07/18","3","6","10","11","13","37","32","44"
"02/07/18","2","5","21","22","30","33","23","26"
"25/06/18","1","8","17","26","36","40","15","21"
"18/06/18","9","16","20","23","25","32","1","42"
"11/06/18","3","4","22","23","33","44","24","38"
"04/06/18","3","4","17","31","37","40","6","22"
"28/05/18","10","19","28","32","40","44","7","13"
"21/05/18","8","10","11","21","34","39","15","23"
"14/05/18","12","17","20","25","28","45","29","39"
"07/05/18","8","14","17","33","38","39","5","44"
"30/04/18","5","8","17","21","23","24","9","44"
"23/04/18","4","7","13","14","25","31","6","19"
"16/04/18","10","11","15","35","37","40","19","20"
"09/04/18","2","11","13","26","28","41","14","33"
"02/04/18","1","4","17","24","40","42","38","44"
"26/03/18","13","24","30","36","40","41","3","39"
"19/03/18","19","20","26","34","39","42","29","43"
"12/03/18","13","14","27","34","36","45","32","41"
"05/03/18","6","9","11","13","18","24","23","33"
"26/02/18","4","5","6","7","31","32","36","44"
"19/02/18","7","9","14","18","35","37","28","39"
"12/02/18","3","4","8","10","37","39","17","43"
"05/02/18","3","9","14","30","31","43","37","38"
"29/01/18","3","18","25","34","41","44","5","27"
"22/01/18","12","17","28","33","40","42","14","38"
"15/01/18","10","14","28","40","43","45","26","37"
"08/01/18","3","6","8","24","34","40","18","26"
"01/01/18","2","24","29","31","34","37","3","16"
"25/12/17","4","18","20","27","41","45","1","19"
"18/12/17","1","20","32","43","44","45","11","22"
"11/12/17","11","17","20","22","27","38","9","28"
"04/12/17","9","13","17","24","32","43","3","14"
"27/11/17","9","13","16","38","39","41","10","43"
"20/11/17","8","14","27","29","36","38","18","45"
"13/11/17","8","11","12","21","36","38","25","42"
"06/11/17","3","7","10","13","17","22","4","40"
"30/10/17","3","7","21","23","30","38","12","17"
"23/10/17","15","16","20","21","31","41","26","44"
"16/10/17","4","25","28","39","40","42","2","45"
"09/10/17","4","8","20","29","34","40","2","25"
"02/10/17","7","12","17","26","29","36","6","31"
"25/09/17","8","10","18","33","39","45","1","31"
"18/09/17","4","9","13","14","18","43","2","37"
"11/09/17","2","6","7","11","13","26","29","35"
"04/09/17","7","8","13","16","24","37","5","20"
"28/08/17","11","31","33","38","42","44","13","28"
"21/08/17","3","8","16","19","23","45","29","36"
"14/08/17","8","9","10","20","34","35","19","31"
"07/08/17","6","29","32","35","41","44","3","18"
"31/07/17","4","8","12","27","28","35","15","26"
"24/07/17","1","13","20","23","28","39","18","35"
"17/07/17","4","7","10","21","40","42","13","43"
"10/07/17","12","17","21","24","37","42","2","33"
"03/07/17","8","9","10","23","34","42","11","43"
"26/06/17","14","17","18","34","40","41","6","45"
"19/06/17","20","21","22","27","35","42","2","3"
"12/06/17","5","22","28","34","38","44","15","24"
"05/06/17","2","13","16","22","31","38","19","34"
"29/05/17","11","18","20","22","27","42","2","34"
"22/05/17","6","17","20","33","38","44","16","24"
"15/05/17","15","16","17","34","36","38","1","45"
"08/05/17","4","5","23","25","33","42","20","24"
"01/05/17","6","11","14","17","18","25","16","42"
"24/04/17","9","22","26","28","31","34","13","15"
"17/04/17","21","25","30","38","41","43","14","22"
"10/04/17","6","10","15","29","35","37","32","36"
"03/04/17","3","13","23","24","25","27","7","29"
"27/03/17","3","6","18","20","31","36","9","23"
"20/03/17","6","14","15","19","23","39","28","45"
"13/03/17","6","13","14","19","33","38","20","31"
"06/03/17","3","11","13","17","22","23","20","36"
"27/02/17","14","19","25","26","42","43","22","36"
"20/02/17","3","24","29","31","35","39","19","30"
"13/02/17","13","14","15","16","23","41","22","25"
"06/02/17","7","24","34","35","36","42","8","40"
"30/01/17","14","25","34","37","41","42","4","5"
"23/01/17","9","11","22","25","26","37","7","14"
"16/01/17","5","16","20","21","29","43","9","31"
"09/01/17","10","18","27","33","34","45","23","25"
"02/01/17","2","7","21","31","32","33","9","27"
"26/12/16","2","9","11","18","21","29","40","45"
"19/12/16","4","6","10","11","33","38","23","28"
"12/12/16","7","17","25","31","33","40","18","44"
"05/12/16","3","21","25","29","41","45","24","37"
"28/11/16","26","33","35","37","39","42","21","36"
"21/11/16","4","7","12","33","44","45","10","27"
"14/11/16","3","4","13","25","35","39","15","34"
"07/11/16","7","21","23","26","32","37","8","43"
"31/10/16","8","28","32","37","38","39","11","25"
"24/10/16","3","8","13","19","23","43","16","28"
"17/10/16","11","14","18","26","39","44","8","16"
"10/10/16","2","14","24","33","36","43","10","40"
"03/10/16","3","7","25","39","41","44","12","42"
"26/09/16","1","5","16","18","24","38","15","32"
"19/09/16","3","14","16","27","28","45","13","21"
"12/09/16","5","8","12","21","26","44","14","33"
"05/09/16","13","14","24","25","27","45","40","43"
"29/08/16","21","22","24","25","31","43","32","45"
"22/08/16","4","6","13","19","35","39","2","34"
"15/08/16","3","15","22","24","28","45","12","23"
"08/08/16","2","4","25","29","38","39","6","37"
"01/08/16","5","15","24","26","42","45","4","17"
"25/07/16","16","20","30","36","37","44","8","24"
"18/07/16","3","7","30","39","40","43","31","42"
"11/07/16","6","7","24","27","36","40","11","38"
"04/07/16","1","6","9","12","15","20","25","38"
"27/06/16","1","13","21","22","38","39","41","43"
"20/06/16","14","24","29","35","39","45","16","30"
"13/06/16","10","12","18","30","37","42","16","29"
"06/06/16","3","4","14","16","38","39","23","45"
"30/05/16","8","14","17","20","33","37","5","29"
"23/05/16","6","17","20","25","26","28","13","39"
"16/05/16","4","8","22","24","28","31","6","13"
"09/05/16","9","12","26","29","30","40","7","8"
"02/05/16","11","14","24","25","40","41","32","38"
"25/04/16","8","20","28","29","35","43","1","39"
"18/04/16","1","10","21","22","26","32","35","42"
"11/04/16","9","13","22","26","29","35","30","34"
"04/04/16","27","32","33","35","43","45","16","44"
"28/03/16","10","13","19","22","25","26","29","44"
"21/03/16","9","14","15","18","31","43","2","42"
"14/03/16","5","14","19","20","23","42","3","12"
"07/03/16","5","10","20","33","35","36","6","42"
"29/02/16","5","7","28","33","43","45","16","17"
"22/02/16","4","8","33","34","41","43","19","32"
"15/02/16","9","16","17","23","25","30","14","26"
"08/02/16","11","13","31","33","40","45","26","39"
"01/02/16","13","29","31","36","41","43","3","45"
"25/01/16","8","13","14","17","25","28","23","34"
"18/01/16","6","14","31","41","42","45","25","32"
"11/01/16","3","8","10","23","26","27","5","24"
"04/01/16","2","3","26","30","35","41","21","24"
"28/12/15","18","25","29","31","38","43","22","39"
"21/12/15","6","14","16","27","31","34","17","44"
"14/12/15","2","5","16","19","31","39","6","10"
"07/12/15","12","20","24","28","29","34","13","39"
"30/11/15","16","20","28","30","33","34","6","9"
"23/11/15","4","17","20","21","29","37","34","38"
"16/11/15","10","20","32","34","44","45","8","27"
"09/11/15","5","13","21","23","27","42","3","34"
"02/11/15","15","18","20","22","31","45","17","24"
"26/10/15","2","9","23","26","42","43","10","37"
"19/10/15","15","24","25","28","30","34","16","21"
"12/10/15","3","10","13","16","36","40","7","45"
"05/10/15","4","14","15","16","27","36","1","8"
"28/09/15","8","9","17","30","32","33","1","18"
"21/09/15","5","15","18","25","26","40","3","12"
"14/09/15","2","7","12","20","37","38","28","41"
"07/09/15","2","10","17","26","34","38","3","18"
"31/08/15","4","12","18","32","36","44","27","33"
"24/08/15","9","11","13","15","24","35","23","33"
"17/08/15","12","14","17","25","41","42","31","44"
"10/08/15","4","10","12","16","29","31","9","36"
"03/08/15","12","18","19","24","30","35","22","43"
"27/07/15","8","16","32","35","39","42","3","20"
"20/07/15","3","27","28","31","33","42","39","44"
"13/07/15","1","3","20","24","29","33","7","42"
"06/07/15","4","11","12","27","30","41","29","44"
"29/06/15","6","20","30","32","42","45","37","40"
"22/06/15","22","23","24","37","39","40","19","26"
"15/06/15","12","19","27","28","31","39","2","30"
"08/06/15","5","10","30","32","36","45","11","21"
"01/06/15","8","17","22","30","32","39","6","29"
"25/05/15","5","7","18","34","36","37","6","15"
"18/05/15","2","5","16","23","39","41","38","43"
"11/05/15","1","7","8","16","28","36","2","20"
"04/05/15","3","4","12","17","18","36","15","41"
"27/04/15","14","20","21","26","32","43","1","15"
"20/04/15","2","4","9","29","38","45","5","25"
"13/04/15","5","8","18","27","37","43","22","40"
"06/04/15","25","27","33","40","44","45","6","18"
"30/03/15","17","19","32","33","39","45","15","23"
"23/03/15","18","22","24","26","33","43","7","29"
"16/03/15","13","22","24","29","34","42","2","23"
"09/03/15","1","17","24","27","34","43","2","28"
"02/03/15","6","7","11","31","35","45","15","25"
"23/02/15","3","12","15","25","28","39","26","33"
"16/02/15","5","6","16","27","29","39","12","36"
"09/02/15","17","19","20","21","26","41","25","38"
"02/02/15","6","7","19","28","31","35","2","26"
"26/01/15","9","14","15","25","28","30","21","38"
"19/01/15","6","7","11","32","40","42","35","45"
"12/01/15","15","16","28","29","37","41","3","5"
"05/01/15","7","15","20","29","38","43","1","24"
"29/12/14","4","15","17","20","29","31","33","41"
"22/12/14","3","4","6","13","14","39","17","42"
"15/12/14","4","7","14","20","29","37","38","45"
"08/12/14","4","16","20","34","38","44","13","29"
"01/12/14","1","7","8","15","31","43","3","29"
"24/11/14","4","9","23","28","34","43","3","20"
"17/11/14","1","5","7","10","24","35","3","33"
"10/11/14","2","24","25","32","35","45","12","37"
"03/11/14","4","24","28","32","40","45","13","36"
"27/10/14","8","9","23","32","33","44","15","25"
"20/10/14","1","9","28","35","38","45","14","29"
"13/10/14","1","7","23","33","34","40","8","18"
"06/10/14","4","13","25","28","31","34","16","37"
"29/09/14","10","12","22","30","31","33","18","44"
"22/09/14","13","28","29","30","35","39","25","40"
"15/09/14","1","8","35","39","41","45","5","12"
"08/09/14","22","26","28","30","32","43","8","41"
"01/09/14","3","11","16","17","25","38","21","34"
"25/08/14","13","14","15","23","28","30","2","24"
"18/08/14","5","11","12","15","20","41","33","38"
"11/08/14","3","5","14","25","26","39","8","18"
"04/08/14","11","28","33","39","40","44","17","38"
"28/07/14","3","5","6","16","36","40","20","22"
"21/07/14","2","17","18","31","37","40","5","12"
"14/07/14","2","11","18","28","33","39","15","30"
"07/07/14","5","18","36","38","41","42","10","30"
"30/06/14","4","16","21","29","30","41","28","44"
"23/06/14","13","22","26","28","35","39","16","24"
"16/06/14","1","8","12","13","34","41","20","23"
"09/06/14","13","15","22","26","28","37","4","39"
"02/06/14","3","4","16","21","23","34","7","18"
"26/05/14","6","21","27","30","34","35","10","37"
"19/05/14","3","4","12","25","34","37","6","40"
"12/05/14","1","13","18","19","39","43","24","31"
"05/05/14","19","24","26","36","39","41","12","16"
"28/04/14","3","5","8","27","33","39","29","35"
"21/04/14","6","13","19","31","42","43","4","7"
"14/04/14","1","7","21","23","39","43","22","33"
"07/04/14","2","15","20","25","30","35","7","34"
"31/03/14","8","12","18","29","33","40","30","39"
"24/03/14","4","16","19","21","34","41","5","30"
"17/03/14","8","11","21","26","40","41","15","18"
"10/03/14","20","27","28","37","40","44","16","19"
"03/03/14","4","10","14","21","37","38","25","35"
"24/02/14","1","7","9","10","35","39","27","33"
"17/02/14","3","16","18","19","21","24","2","42"
"10/02/14","3","7","14","17","20","29","8","40"
"03/02/14","25","27","30","36","42","44","2","31"
"27/01/14","17","20","22","31","38","45","32","34"
"20/01/14","7","19","31","37","41","42","17","34"
"13/01/14","16","18","28","34","36","38","13","29"
"06/01/14","13","17","25","32","39","41","23","29"
"30/12/13","9","18","21","22","39","42","28","34"
"23/12/13","1","13","14","15","19","24","44","45"
"16/12/13","18","23","24","28","29","43","2","9"
"09/12/13","1","23","31","36","39","44","35","43"
"02/12/13","2","3","7","27","35","44","29","43"
"25/11/13","17","22","23","24","26","45","12","30"
"18/11/13","7","16","28","30","31","34","12","40"
"11/11/13","3","4","26","27","32","42","14","22"
"04/11/13","3","7","27","29","34","45","15","19"
"28/10/13","19","25","32","35","44","45","12","33"
"21/10/13","10","28","30","33","40","42","16","17"
"14/10/13","4","5","10","13","37","38","11","27"
"07/10/13","5","9","13","16","18","40","8","10"
"30/09/13","6","12","24","31","33","39","16","23"
"23/09/13","1","5","9","32","38","39","14","23"
"16/09/13","1","4","17","18","36","43","25","31"
"09/09/13","5","8","28","40","41","44","15","42"
"02/09/13","13","20","28","30","43","45","1","7"
"26/08/13","6","25","27","38","42","43","15","20"
"19/08/13","3","19","28","34","35","39","4","10"
"12/08/13","1","21","23","24","29","36","5","7"
"05/08/13","1","4","13","14","39","44","5","30"
"29/07/13","8","10","31","36","39","42","7","14"
"22/07/13","4","7","8","11","23","31","12","39"
"15/07/13","4","11","23","26","30","35","1","12"
"08/07/13","9","13","19","29","39","42","23","41"
"01/07/13","4","13","14","15","23","34","29","43"
"24/06/13","7","10","26","29","39","45","5","23"
"17/06/13","10","25","29","41","43","44","28","39"
"10/06/13","10","17","27","29","30","36","25","33"
"03/06/13","1","3","16","32","37","45","26","35"
"27/05/13","16","17","22","24","25","32","23","28"
"20/05/13","3","15","16","28","33","42","23","27"
"13/05/13","5","26","31","35","41","42","11","45"
"06/05/13","1","8","18","41","42","44","24","45"
"29/04/13","6","23","26","30","32","43","3","16"
"22/04/13","3","4","6","10","24","27","21","40"
"15/04/13","7","13","32","36","41","45","25","44"
"08/04/13","18","28","31","33","41","45","12","21"
"01/04/13","9","17","21","32","37","41","24","38"
"25/03/13","3","22","23","28","32","42","8","14"
"18/03/13","5","16","21","22","27","31","13","28"
"11/03/13","9","14","16","18","24","33","1","36"
"04/03/13","4","9","23","25","37","45","8","27"
"25/02/13","1","7","23","24","28","44","29","41"
"18/02/13","7","24","37","39","42","44","25","33"
"11/02/13","14","19","20","31","34","42","28","35"
"04/02/13","7","15","16","30","31","43","20","42"
"28/01/13","8","9","16","21","22","25","11","14"
"21/01/13","13","15","16","22","33","42","27","29"
"14/01/13","3","5","6","12","21","28","18","32"
"07/01/13","13","18","21","32","41","44","20","37"
"31/12/12","9","11","14","18","26","33","5","25"
"24/12/12","2","13","14","19","22","36","4","40"
"17/12/12","7","13","29","35","36","40","6","21"
"10/12/12","8","9","10","21","22","27","6","34"
"03/12/12","9","13","14","20","26","34","18","23"
"26/11/12","16","30","36","37","42","45","24","39"
"19/11/12","11","14","19","20","30","41","42","43"
"12/11/12","8","10","24","26","43","45","4","15"
"05/11/12","1","4","12","33","39","44","8","22"
"29/10/12","1","10","13","18","39","43","33","40"
"22/10/12","11","21","23","32","37","41","1","26"
"15/10/12","18","22","24","25","29","39","14","21"
"08/10/12","8","13","14","15","30","37","32","36"
"01/10/12","5","7","18","23","43","44","21","27"
"24/09/12","9","17","31","32","35","42","16","30"
"17/09/12","2","14","18","23","26","41","10","37"
"10/09/12","6","20","26","30","37","45","18","41"
"03/09/12","4","10","13","22","23","32","40","44"
"27/08/12","8","9","16","20","25","27","13","21"
"20/08/12","1","2","4","15","23","37","11","39"
"13/08/12","4","14","21","27","41","45","5","37"
"06/08/12","2","5","10","13","29","45","8","18"
"30/07/12","9","13","18","20","40","43","10","34"
"23/07/12","1","3","14","22","24","34","4","36"
"16/07/12","4","9","13","19","21","38","2","31"
"09/07/12","1","7","11","15","19","35","17","23"
"02/07/12","12","20","21","28","32","35","38","42"
"25/06/12","16","27","32","34","42","44","19","41"
"18/06/12","4","12","16","21","34","43","37","44"
"11/06/12","13","21","34","40","42","44","7","37"
"04/06/12","2","4","12","17","24","35","5","36"
"28/05/12","6","12","18","24","34","41","5","25"
"21/05/12","1","7","22","23","32","38","16","35"
"14/05/12","1","11","20","26","40","44","28","33"
"07/05/12","3","18","20","21","44","45","25","31"
"30/04/12","16","23","31","32","39","42","22","45"
"23/04/12","7","11","21","28","29","31","24","25"
"16/04/12","19","20","24","30","31","43","12","35"
"09/04/12","4","6","18","26","27","32","31","42"
"02/04/12","2","13","21","30","40","42","12","15"
"26/03/12","17","21","31","36","42","44","28","34"
"19/03/12","8","9","20","23","44","45","29","43"
"12/03/12","5","15","20","26","31","42","6","40"
"05/03/12","1","8","11","14","29","44","31","42"
"27/02/12","11","19","20","34","35","38","3","29"
"20/02/12","1","7","19","20","23","26","12","40"
"13/02/12","11","14","23","31","35","40","7","17"
"06/02/12","3","10","13","35","38","44","5","12"
"30/01/12","4","14","15","18","20","43","11","34"
"23/01/12","10","17","25","38","39","41","2","44"
"16/01/12","7","12","18","31","37","38","41","44"
"09/01/12","8","9","10","29","39","40","3","28"
"02/01/12","12","15","20","36","40","44","8","32"
"26/12/11","1","26","29","33","38","45","24","42"
"19/12/11","1","4","11","21","29","43","5","31"
"12/12/11","13","23","24","38","39","43","3","22"
"05/12/11","9","13","32","38","43","44","15","33"
"28/11/11","8","17","19","22","39","42","2","16"
"21/11/11","15","18","29","33","35","42","14","30"
"14/11/11","13","16","20","23","35","43","12","42"
"07/11/11","6","7","22","30","31","33","29","44"
"31/10/11","1","13","25","29","30","41","18","44"
"24/10/11","5","9","23","32","35","36","6","40"
"17/10/11","5","8","19","24","27","28","7","20"
"10/10/11","1","12","20","26","35","42","24","28"
"03/10/11","20","23","30","32","34","36","5","25"
"26/09/11","5","13","23","29","33","44","11","12"
"19/09/11","4","17","30","33","34","35","14","22"
"12/09/11","9","10","16","22","41","44","17","23"
"05/09/11","1","6","21","32","38","40","17","29"
"29/08/11","1","9","17","26","28","34","2","45"
"22/08/11","8","13","30","32","40","45","5","26"
"15/08/11","6","10","23","29","40","41","22","45"
"08/08/11","14","22","23","30","41","43","26","38"
"01/08/11","6","8","17","25","30","38","13","29"
"25/07/11","17","23","32","34","39","45","19","33"
"18/07/11","5","17","21","27","30","34","9","14"
"11/07/11","14","20","27","35","38","40","1","16"
"04/07/11","2","15","23","24","30","45","21","36"
"27/06/11","5","6","14","27","30","40","31","43"
"20/06/11","11","13","33","40","43","45","42","44"
"13/06/11","1","6","27","34","38","40","7","11"
"06/06/11","9","14","28","31","37","38","12","35"
"30/05/11","5","13","16","17","21","41","24","45"
"23/05/11","21","22","26","33","38","42","10","20"
"16/05/11","1","3","10","12","22","26","19","20"
"09/05/11","2","3","4","7","28","30","21","37"
"02/05/11","1","5","7","10","11","27","30","38"
"25/04/11","2","4","15","21","33","40","8","23"
"18/04/11","5","8","15","23","27","35","14","45"
"11/04/11","5","13","14","17","31","43","8","16"
"04/04/11","4","8","24","25","28","29","22","34"
"28/03/11","1","5","9","11","12","44","17","25"
"21/03/11","4","7","10","24","27","28","8","15"
"14/03/11","10","15","24","25","33","34","8","9"
"07/03/11","7","11","14","20","39","42","13","25"
"28/02/11","9","13","16","21","39","43","7","32"
"21/02/11","3","15","31","32","33","37","16","17"
"14/02/11","11","16","23","28","35","43","7","24"
"07/02/11","4","20","23","27","31","44","37","41"
"31/01/11","8","9","13","14","27","31","11","36"
"24/01/11","13","14","29","31","39","43","15","28"
"17/01/11","6","13","21","26","28","31","16","33"
"10/01/11","1","5","20","21","30","31","35","41"
"03/01/11","19","28","37","38","41","42","16","24"
"27/12/10","3","18","32","34","41","45","10","22"
"20/12/10","1","2","12","27","38","45","33","44"
"13/12/10","2","26","32","33","38","43","11","39"
"06/12/10","1","8","16","25","33","39","19","32"
"29/11/10","4","12","15","28","33","34","6","22"
"22/11/10","4","11","20","22","30","38","24","36"
"15/11/10","10","12","28","30","32","45","5","40"
"08/11/10","6","7","20","31","32","42","29","33"
"01/11/10","2","6","11","13","20","26","14","40"
"25/10/10","2","3","21","26","27","41","19","22"
"18/10/10","1","13","19","21","27","33","12","45"
"11/10/10","4","10","18","21","34","39","7","44"
"04/10/10","2","12","13","25","29","32","9","22"
"27/09/10","10","15","21","22","29","43","6","23"
"20/09/10","7","15","21","30","34","40","11","14"
"13/09/10","2","4","5","17","37","42","9","19"
"06/09/10","9","21","23","29","36","40","12","18"
"30/08/10","5","6","19","25","36","44","10","24"
"23/08/10","4","10","13","14","36","41","35","37"
"16/08/10","5","16","19","24","28","32","15","29"
"09/08/10","7","10","11","26","34","44","40","41"
"02/08/10","5","21","26","31","32","41","6","35"
"26/07/10","1","4","7","10","16","20","9","12"
"19/07/10","13","17","18","31","36","45","12","40"
"12/07/10","21","26","30","34","36","42","3","25"
"05/07/10","4","14","25","27","31","37","19","39"
"28/06/10","7","23","24","36","42","43","35","45"
"21/06/10","1","2","18","19","25","42","5","36"
"14/06/10","7","8","9","18","20","43","12","40"
"07/06/10","1","7","18","27","28","33","23","29"
"31/05/10","4","10","24","26","29","41","12","38"
"24/05/10","4","6","17","18","19","22","13","14"
